user,text
GatsbyChristian,"@cnn @foxnews @abc @cbsnews @nytimes @wsj @ap

Then @JoeBiden's press secy Psaki (now @MSNBC) said:  ""We didn't provide Ukraine w/ specific targeting information for the Moskva""

FACT:
USA helped Ukraine target Russian generals &amp; sink Russian warship Moskva.
@jrpsaki LIED again"
DaveKuschnick,@Chachimartin57 @tedcruz Just like Joe Biden?????
AvA4Bleue,@JoeBiden @PalmerReport Thank you for your relentless efforts. 2023 will be even better with your leadership https://t.co/NMIKoQfMw1
Michael5033cnc,AMC SQUEEZE: THE END OF THE SHORTS https://t.co/wSd10YOzyU via @YouTube this is why we are here! This why we stay! This is why we buy! This is why we hold! #AMC #AMCSTOCK #AMCNEVERLEAVING #AMCAPES #APES #SEC #HODL @GaryGensler @Citadel @CEOAdam   @JoeBiden https://t.co/V9sUt4hLci
Killaroth,@Lukewearechange @Timcast Almost like @JoeBiden didn’t actually have a better strategy than Trump…
keith_radomski,@JoeBiden 🖕🏻YOU BRANDON 🤡
bvlemoine,"Joe Biden setup two S corps. that can pass money between themselves which is private, not taxed &amp; invisible to the public on his personal tax returns. The Biden Center accepted around $70 million in Chinese gifts since 2017 &amp; failed to disclose these funds to the federal govt."
logical9champ,@sadketchupp @DaBears7878 @JoeBiden Other response
griffrhys6,@JoeBiden No responsible parent would let that creepy old lech anywhere near their young daughter.
thebradfordfile,LOL. Joe Biden releases his taxes because he uses his son and brother to launder everything for him.
TroyHaw40927113,@JoeBiden Please stay on vacation
RWerthe,"@Phoenixryan14 @SusieGr32811476 @TimRunsHisMouth @JoeBiden To great for the small number of limited income's w/diabetes qualifying at the limited number of FQHC's. 
Do yours.."
TailgunnerJoeM,"@JoeBiden Sounds great, until I look at how my net worth collapsed under your administration"
FrankaRussojr2,"@Evyrvrock1 Then we came out of coronavirus and we’re doing amazing until this President Joe Biden came in &amp; f*cked everything up… Joe Biden has destroyed our V-shaped recovery coming out of coronavirus. Where did your chart on inflation go oh yeah, that would show. Biden is a piece of crap"
McCarcm71,"@not_onions @JoeBiden Ended inflation? You shop at the food bank and haven't seen what's going on? Reduced gas prices? Yeah, let's inflate them by $3 $4 $5 and then lower them by $1 and the democrats think they getting a discount 🤦‍♀️🤣 Geez, wake up..."
B4LDB4ST4RD,"#DeathBingo2023 
1) Michael Caine
2) Tom Jones
3) Joe Biden"
norwalkiian,"@free_for_ai @FlippyO @stevanzetti Yeah, compared to how much freedom we had in 900, we’re all basically slaves these days.

Joe Biden is basically an emperor compared to Charlemagne."
91squirrel,@MatthewJshow @JoeBiden Retire
farr120158,This says it all. Joe Biden will continue to destroy America. He needs to be removed. https://t.co/1ZlQKEu1gE
JoyMiddaugh,@CplFlume @graceand_truth @JoeBiden Lol. American Immigration Counsel? I'm guessing they are biased.
Epperson4Bob,Joe Biden says he doesn’t support gay marriage https://t.co/yWRx0yvVvc via @YouTube
LucyLou_Demorin,"@deneenborelli @JoeBiden @tomborelli @POTUS @BarackObama Christ, this is the worst. Just total garbage. What a waste. #sad"
dwj170,"@ChuckCallesto Yes, he lies more than Joe Biden."
KooleKees,@JoeBiden Mooi 2023 😄👍
