,User,Tweet
48,ali_culbertson,@KHJS2112 Exciting times. Onward and upward towards our next prime minister. Sir Keir Starmer PM  🌹🥳🎊🥂
49,dobbin1957,"@philipstephens Indeed - which is why, despite subsequent stiff competition, I think @DavidCameron_PM easily qualifies as the UK’s worst prime minister of all time"
50,RohitKu56762491,"Nitish Kumar makes veiled attack on RSS, PM Modi; says talks are all around about 'new father of modern India' Nitish vs BJP: Bihar Chief Minister Nitish Kumar, on Saturday, made a veiled attack on the Rashtriya Swayamsevak Sangh (RSS) and Prime Minister Narendra Modi.... ""F… https://t.co/2i2mIIOjUu"
51,IndiaTodayNE,"Assam Chief Minister @himantabiswa on December 31 said that Prime Minister #NarendraModi is likely to visit #Assam on April 14-15 during the #RongaliBihu festivities. The Chief Minister said this after his meeting with the PM in #NewDelhi.

https://t.co/TGSgimrGpF"
52,CNNnews18,"""PM Modi has the capacity to carry a team with him. It is a privilege to be led by him"" says Union Minister @DrJitendraSingh; ""PM has given us the freedom and courage to speak up,"" says V Muraleedharan (@VMBJP)

Watch #TheRightPerspective with @AnchorAnandN | #Exclusive https://t.co/2cXVHToq3Q"
53,Aa_e_eshA,"Making his stand once again clear that he is “not in the race” for the post of Prime Minister of India, #Bihar CM #NitishKumar said he was open to Congress’ idea of proposing for opposition PM candidate for 2024 Lok Sabha polls https://t.co/Z77LCB8I4V"
54,thiagubaddu1999,@Javedakhtarjadu Sir learn to address PM MODI JI with respect.  If u r not educated u can learn from other educated persons and nations how they address their President and Prime Minister and other Government officials
55,AndyVermaut,"Andy Vermaut shares:Like PM Modi, Chinese President Xi Jinping tells Putin dialogue is the way to resolve Ukraine issue: Beijing [China], December 31 (ANI): Chinese President Xi Jinping has followed Prime Minister Narendra Modi's worldview… https://t.co/wRrGVDJR0T Thank you. https://t.co/hRq2U5CydO"
56,Syeda9514,"THE PRIME MINISTER OF PAKISTAN:IMRAN KHAN 
 It is only IK for whom is the seat of PM Pakistan no one other deserves it.....
@TeamiPians 
#نیا_سال_مبارک_خان_صاحب https://t.co/tLny8TfOPK"
57,AModernDuchess,"A strong multitasker, NZ PM proves you can have a career and be a Mom

“Never feel like you have to tick all of the boxes on everything to be able to feel like you can do a job.”

- New Zealand’s Prime Minister, Jacinda Ardern

#LiveToLeadNetflix
#LiveToLead
#HarryandMeganNetflix https://t.co/6Q6moJyFtR"
58,Shahjan68377889,"@CMShehbaz  sir pm please gwadar garab log ko dekh li.  Net work band hona waja see   our log see baat ni kar pa rha please 
Gwadar masla Hal kar ha. 
Prime minister sir"
59,society90,Tribute 💐🙏to Mataji of Indian Prime minister Narendra Modi. Deep and sincere Condolences to PM Modi and entire family. https://t.co/NrFgDbZ9PH
60,Rachelbullock67,"@stoddard2020 @CollinRugg @SpeakerPelosi Fgs the British Prime minister is a multi millionaire and the PM salary is £164000. He has a life before politics, perhaps she invested, get husband invested etc they aren't kids."
61,sagarpawan1990,"Nepal's PM Pushpa Kamal Dahal took charge, became the Prime Minister of the country for the third time https://t.co/gOvWeaROYv #Nepal #PMNepal"
62,RohitKu56762491,"Nitish Kumar makes veiled attack on RSS, PM Modi; says talks are all around about 'new father of modern India' Nitish vs BJP: Bihar Chief Minister Nitish Kumar, on Saturday, made a veiled attack on the Rashtriya Swayamsevak Sangh (RSS) and Prime Minister Narendra Modi.... ""F… https://t.co/K0TCeK5Vjr"
63,uniindianews,"British PM #RishiSunak  struck a cautious note with his first New Year message as British Prime Minister today as he warned that the UK's problems won't go away in 2023

#Britain"
64,DrSKTyagi_MCM,"@INCIndia and it's owner family launched and relaunched many times @RahulGandhi as leader who can be face for the election of Prime Minister but Indian Voters are not accepting him as PM, even he couldn't win election of MP from his hereditary seat Amethi #RahulGandhi https://t.co/kpzRjkLXqB"
65,AryanKranti17,"@RahulGandhi Hello Bhaiya ❤️ you're my leader, I have question for you that after 75 years, does this country not deserve a SC/ST or a Muslim Prime Minister Or even a Home minister?
Pov- I have no problem with your candidature for PM and it's just a question to mind and remind."
66,DDNewslive,"@narendramodi @SadhguruJV Roundup of some of 2022's most viewed images of Prime Minister Narendra Modi.

Pic when PM Modi is connecting with diaspora!

@PMOIndia https://t.co/Fr43j44HEW"
67,DDNewslive,"Roundup of some of 2022's most viewed images of Prime Minister Narendra Modi.

PM @narendramodi and @SadhguruJV share a light moment ahead of ‘Save Soil’ programme. https://t.co/Ci8FBWDRLg"
68,grumpybarstuart,I see The Times has listed The 8 things the PM needs to do as prime minister in 2023. The list - inflation industrial action energy bills NHS waiting lists mortgages economic growth migration tax all in a mess because we have not had the required political leadership for 40+ yrs
69,CNNnews18,"""Under PM Modi there have been many firsts - in governance, government, and electoral politics. He has given us a sustainable model"": Union Minister @DrJitendraSingh to CNN-News18 

Watch #TheRightPerspective with @AnchorAnandN | #YearEnder #Exclusive https://t.co/cRYMS3p1FY"
70,jacksparrow3976,New candidate for Prime Minister found👇#PrimeMinister #PM https://t.co/pz7ParGuC9
71,ghulamabbasshah,"Former Prime Minister Nawaz Sharif offered condolences to Indian PM Narendra Modi, over the passing of his mother."
72,IAmWhatIAmBuds,"@subvoyeur “How ridiculous would it be for me to try come up with a plan to show my capabilities, since I’m running for Prime Minister, for an imaginary situation identical to what just happened and I savagely critiqued our PM’s plan, even though we fared well statistically in the world.”"
73,Natraj15469788,"@elonjet2023 @LoyalistLelouch @ggiittiikkaa LMAO flagging a train could have been the privilege and honor of the Railway minister?? At least this one time? Like it often is in other governments?

Only in Modi sarkar, the PM jumps in front of the camera's for every little thing!!"
74,deependra4163,"I’m deeply saddened to learn about the passing away of Smt. Heeraba Modi, loving mother of Prime Minister @PMOIndia At this hour of grief, I express heart felt condolences to PM Modi ji and the family members and pray for eternal peace of the departed soul."
75,htTweets,"Making his stand once again clear that he is “not in the race” for the post of Prime Minister of India, #Bihar CM Nitish Kumar said he was open to Congress’ idea of proposing for opposition PM candidate for 2024 Lok Sabha polls

(@swaroop_vijay reports)
https://t.co/dSHEw4UpUO"
76,RohitKu56762491,"Nitish Kumar makes veiled attack on RSS, PM Modi; says talks are all around about 'new father of modern India' Nitish vs BJP: Bihar Chief Minister Nitish Kumar, on Saturday, made a veiled attack on the Rashtriya Swayamsevak Sangh (RSS) and Prime Minister Narendra Modi.... ""F… https://t.co/79pi9MJ3d1"
77,pathakr79,@ranvijaylive Zero ki hai Modi..still he is best Prime Minister of India ab tak. Waise aap PM ban gaye to aur baat hai..Best PM ka taaj aapke sar pe🙏
78,jankibaat1,"How has Prime Minister Narendra Modi changed Kashi? 

Watch Pradeep Bhandari on the special broadcast of Janta Ka Mukadma only on India News at 8 PM tonight.

#ModiTransformedKashi @pradip103 @JMukadma https://t.co/7lsbPXNKvF"
79,davidhuttjourno,"The same year, he was elevated to a deputy prime minister and head of the prime minister’s office, a position that put him in close contact with Thongloun Sisoulith, the PM between 2016 and 2021, and who is now state president and party chief"
